album_favorites,album_title,artist_favorites,artist_name,track_favorites,track_genre_top,track_genres,track_genres_all,track_interest,track_listens,track_title
4,AWOL - A Way Of Life,9,AWOL,2,Hip-Hop,[21],[21],4656,1293,Food
4,AWOL - A Way Of Life,9,AWOL,1,Hip-Hop,[21],[21],1470,514,Electric Ave
4,AWOL - A Way Of Life,9,AWOL,6,Hip-Hop,[21],[21],1933,1151,This World
4,Constant Hitmaker,74,Kurt Vile,178,Pop,[10],[10],54881,50135,Freeway
2,Niris,10,Nicky Cook,0,NaN,"[76, 103]","[17, 10, 76, 103]",978,361,Spiritual Level
2,Niris,10,Nicky Cook,0,NaN,"[76, 103]","[17, 10, 76, 103]",1060,193,Where is your Love?
2,Niris,10,Nicky Cook,0,NaN,"[76, 103]","[17, 10, 76, 103]",718,612,Too Happy
2,Niris,10,Nicky Cook,0,NaN,"[76, 103]","[17, 10, 76, 103]",252,171,Yosemite
2,Niris,10,Nicky Cook,0,NaN,"[76, 103]","[17, 10, 76, 103]",247,173,Light of Light
4,AWOL - A Way Of Life,9,AWOL,3,Hip-Hop,[21],[21],1126,943,Street Music
0,mp3,0,Abominog,0,Rock,"[45, 58]","[58, 12, 45]",2484,1832,Father's Day
0,mp3,0,Abominog,0,Rock,"[45, 58]","[58, 12, 45]",1948,1498,Peel Back The Mountain Sky
2,Live at LACE,5,Airway,2,Experimental,"[1, 32]","[32, 1, 38]",2559,1278,Side A
2,Live at LACE,5,Airway,2,Experimental,"[1, 32]","[32, 1, 38]",1909,489,Side B
1,Every Man For Himself,11,Alec K. Redfearn & the Eyesores,3,Folk,[17],[17],702,582,CandyAss
1,The Blind Spot,11,Alec K. Redfearn & the Eyesores,5,Folk,[17],[17],1593,1299,Queen Of The Wires
1,Every Man For Himself,11,Alec K. Redfearn & the Eyesores,1,Folk,[17],[17],839,725,Ohio
1,The Quiet Room,11,Alec K. Redfearn & the Eyesores,6,Folk,[17],[17],1223,848,Punjabi Watery Grave
0,Amoebiasis,7,Amoebic Ensemble,1,Jazz,[4],[4],1146,1143,Wire Up
0,Amoebiasis,7,Amoebic Ensemble,1,Jazz,[4],[4],968,883,Amoebiasis
1,Limbic Rage,7,Amoebic Ensemble,5,Jazz,[4],[4],855,690,Gimme a Buck or I'll Touch You / Boilermaker
1,Limbic Rage,7,Amoebic Ensemble,2,Jazz,[4],[4],930,766,Repetitive Motion Sickness
0,Contradiction,0,Contradiction,1,Experimental,[1],"[1, 38]",2437,1831,Blackout 2
0,Two Gong/Wire Pieces,1,Andy Hayleck,1,Experimental,[1],"[1, 38]",1103,453,Outside the window bees buzzed...
0,Two Gong/Wire Pieces,1,Andy Hayleck,0,Experimental,[1],"[1, 38]",1071,407,... listening to the sunshine burn the grass
0,Make Them Suffer,0,Animal Writes,0,Rock,[25],"[25, 12]",701,148,Untitled 04
0,Make Them Suffer,0,Animal Writes,0,Rock,[25],"[25, 12]",637,98,Untitled 11
